year,atl_county,state,inbound,outbound
2009,Clayton,Florida,979,678
2009,Clayton,California,264,180
2009,Clayton,New York,347,307
2009,Clayton,Texas,190,415
2009,Clayton,Illinois,128,108
2009,Clayton,North Carolina,209,206
2009,Clayton,Michigan,160,61
2009,Clayton,Tennessee,90,148
2009,Clayton,Louisiana,62,175
2009,Clayton,Alabama,233,242
2009,Clayton,Arizona,27,46
2009,Clayton,Maryland,151,78
2009,Clayton,South Carolina,63,117
2009,Clayton,Mississippi,45,10
2009,Clayton,Ohio,168,96
2009,Clayton,Pennsylvania,57,50
2009,Clayton,Minnesota,19,10
2009,Clayton,Indiana,62,41
2009,Clayton,Nevada,71,32
2009,Clayton,Massachusetts,28,10
2009,Clayton,Virginia,130,89
2009,Clayton,New Jersey,96,55
2009,Clayton,Wisconsin,26,30
2009,Clayton,Hawaii,31,35
2009,Clayton,Washington,10,62
2009,Clayton,Connecticut,53,10
2009,Clayton,Kentucky,10,25
2009,Clayton,Washington DC,10,20
2009,Clayton,Missouri,18,10
2009,Clayton,Oklahoma,10,24
2009,Cobb,Florida,3011,2298
2009,Cobb,California,997,855
2009,Cobb,New York,1192,716
2009,Cobb,Texas,707,1498
2009,Cobb,Illinois,587,490
2009,Cobb,North Carolina,750,825
2009,Cobb,Michigan,633,258
2009,Cobb,Tennessee,602,653
2009,Cobb,Louisiana,205,404
2009,Cobb,Alabama,605,705
2009,Cobb,Arizona,230,252
2009,Cobb,Maryland,396,343
2009,Cobb,South Carolina,580,648
2009,Cobb,Mississippi,108,143
2009,Cobb,Ohio,472,232
2009,Cobb,Pennsylvania,314,226
2009,Cobb,Minnesota,145,62
2009,Cobb,Indiana,169,140
2009,Cobb,Nevada,120,88
2009,Cobb,Massachusetts,304,232
2009,Cobb,Virginia,553,479
2009,Cobb,New Jersey,492,284
2009,Cobb,Wisconsin,101,72
2009,Cobb,Hawaii,50,36
2009,Cobb,Washington,129,170
2009,Cobb,Colorado,121,214
2009,Cobb,Connecticut,177,130
2009,Cobb,Oregon,18,24
2009,Cobb,Kentucky,94,114
2009,Cobb,Missouri,154,76
2009,Cobb,Delaware,37,45
2009,Cobb,Oklahoma,59,82
2009,Cobb,Arkansas,49,46
2009,Cobb,Nebraska,31,19
2009,Cobb,New Mexico,31,10
2009,Cobb,Rhode Island,46,34
2009,Cobb,Utah,32,46
2009,Cobb,Kansas,69,39
2009,Cobb,Iowa,25,32
2009,Cobb,New Hampshire,16,10
2009,Cobb,Alaska,19,27
2009,Cobb,Washington DC,32,53
2009,Cobb,Maine,14,10
2009,Dekalb,Florida,2342,1838
2009,Dekalb,California,986,878
