year,atl_county,state,inbound,outbound
2006,Clayton,Florida,951,638
2006,Clayton,California,453,70
2006,Clayton,New York,754,114
2006,Clayton,Texas,295,156
2006,Clayton,Illinois,176,100
2006,Clayton,North Carolina,164,129
2006,Clayton,Michigan,129,23
2006,Clayton,Tennessee,85,77
2006,Clayton,Louisiana,1559,10
2006,Clayton,Alabama,168,231
2006,Clayton,Arizona,39,41
2006,Clayton,Maryland,145,47
2006,Clayton,South Carolina,161,108
2006,Clayton,Mississippi,135,10
2006,Clayton,Ohio,167,69
2006,Clayton,Pennsylvania,90,47
2006,Clayton,Indiana,52,10
2006,Clayton,Nevada,40,41
2006,Clayton,Massachusetts,49,10
2006,Clayton,Virginia,190,84
2006,Clayton,New Jersey,190,22
2006,Clayton,Wisconsin,27,28
2006,Clayton,Hawaii,29,10
2006,Clayton,Washington,60,24
2006,Clayton,Connecticut,22,10
2006,Clayton,Kentucky,25,10
2006,Clayton,Washington DC,16,10
2006,Clayton,Delaware,22,10
2006,Cobb,Florida,3615,2841
2006,Cobb,California,1845,868
2006,Cobb,New York,1887,532
2006,Cobb,Texas,1147,1163
2006,Cobb,Illinois,807,364
2006,Cobb,North Carolina,744,840
2006,Cobb,Michigan,561,192
2006,Cobb,Tennessee,757,686
2006,Cobb,Louisiana,2690,161
2006,Cobb,Alabama,758,637
2006,Cobb,Arizona,246,214
2006,Cobb,Maryland,414,333
2006,Cobb,South Carolina,704,651
2006,Cobb,Mississippi,354,39
2006,Cobb,Ohio,662,268
2006,Cobb,Pennsylvania,487,250
2006,Cobb,Minnesota,139,81
2006,Cobb,Indiana,180,164
2006,Cobb,Nevada,139,118
2006,Cobb,Massachusetts,457,156
2006,Cobb,Virginia,897,549
2006,Cobb,New Jersey,915,178
2006,Cobb,Wisconsin,133,56
2006,Cobb,Hawaii,81,56
2006,Cobb,Washington,117,203
2006,Cobb,Colorado,198,245
2006,Cobb,Connecticut,327,113
2006,Cobb,Oregon,47,28
2006,Cobb,Kentucky,143,106
2006,Cobb,Missouri,213,174
2006,Cobb,Delaware,63,50
2006,Cobb,Oklahoma,100,107
2006,Cobb,Arkansas,39,48
2006,Cobb,Nebraska,60,36
2006,Cobb,New Mexico,23,10
2006,Cobb,Rhode Island,81,10
2006,Cobb,Utah,42,10
2006,Cobb,Maine,10,18
2006,Cobb,Vermont,25,10
2006,Cobb,Kansas,110,74
2006,Cobb,Alaska,10,15
2006,Cobb,New Hampshire,44,10
2006,Cobb,Washington DC,51,47
2006,Dekalb,Florida,2427,1987
2006,Dekalb,California,1238,832
2006,Dekalb,New York,2154,866
2006,Dekalb,Texas,758,746
2006,Dekalb,Illinois,669,465
2006,Dekalb,North Carolina,865,768
2006,Dekalb,Michigan,507,190
2006,Dekalb,Tennessee,676,598
2006,Dekalb,Louisiana,2985,145
2006,Dekalb,Alabama,652,499
2006,Dekalb,Arizona,133,136
2006,Dekalb,Maryland,604,386
2006,Dekalb,South Carolina,765,519
2006,Dekalb,Mississippi,264,84
2006,Dekalb,Ohio,528,269
2006,Dekalb,Pennsylvania,353,229
2006,Dekalb,Minnesota,123,117
2006,Dekalb,Indiana,168,110
2006,Dekalb,Nevada,76,124
2006,Dekalb,Massachusetts,418,188
2006,Dekalb,Virginia,688,521
2006,Dekalb,New Jersey,702,286
2006,Dekalb,Wisconsin,116,60
2006,Dekalb,Hawaii,39,39
2006,Dekalb,Washington,152,172
2006,Dekalb,Colorado,135,222
2006,Dekalb,Connecticut,243,118
2006,Dekalb,Oregon,20,62
2006,Dekalb,Kentucky,145,100
2006,Dekalb,Missouri,177,123
2006,Dekalb,Delaware,62,27
2006,Dekalb,Oklahoma,54,18
2006,Dekalb,Arkansas,39,39
2006,Dekalb,Nebraska,18,26
2006,Dekalb,New Mexico,18,20
2006,Dekalb,Rhode Island,50,33
2006,Dekalb,Utah,17,31
2006,Dekalb,Kansas,26,26
2006,Dekalb,Iowa,13,10
2006,Dekalb,Washington DC,109,94
2006,Dekalb,Maine,49,10
2006,Fulton,Florida,3979,2843
2006,Fulton,California,2285,1341
2006,Fulton,New York,2147,935
2006,Fulton,Texas,1296,1103
2006,Fulton,Illinois,1016,665
2006,Fulton,North Carolina,1236,1051
2006,Fulton,Michigan,581,227
2006,Fulton,Tennessee,898,605
2006,Fulton,Louisiana,2913,126
2006,Fulton,Alabama,1056,663
2006,Fulton,Arizona,235,281
2006,Fulton,Maryland,773,405
2006,Fulton,South Carolina,875,791
2006,Fulton,Mississippi,359,36
2006,Fulton,Ohio,846,381
2006,Fulton,Pennsylvania,627,310
2006,Fulton,Minnesota,179,86
2006,Fulton,Indiana,248,150
2006,Fulton,Nevada,100,124
2006,Fulton,Massachusetts,658,263
2006,Fulton,Virginia,973,656
2006,Fulton,New Jersey,1066,417
2006,Fulton,Wisconsin,164,100
2006,Fulton,Hawaii,71,42
2006,Fulton,Washington,309,261
2006,Fulton,Colorado,251,245
2006,Fulton,Connecticut,377,221
2006,Fulton,Oregon,43,71
2006,Fulton,Kentucky,139,106
2006,Fulton,Missouri,244,117
2006,Fulton,Delaware,93,51
2006,Fulton,Oklahoma,70,29
2006,Fulton,Arkansas,68,67
2006,Fulton,Nebraska,40,26
2006,Fulton,New Mexico,28,23
2006,Fulton,Rhode Island,38,33
